temp    pres    rho
220.908 2816.12 0.0444089
221.041 2758.82 0.0434791
221.173 2702.97 0.0425734
221.306 2648 0.0416826
221.439 2594.43 0.0408149
221.572 2541.71 0.0399615
221.704 2490.34 0.0391304
221.837 2439.78 0.038313
221.971 2390.03 0.0375091
222.104 2341.56 0.0367265
222.238 2293.87 0.0359568
222.371 2247.41 0.0352074
222.505 2201.69 0.0344705
222.638 2157.13 0.0337525
222.772 2113.27 0.0330464
222.906 2070.47 0.0323578
223.04 2028.36 0.0316805
223.173 1987.25 0.0310199
223.308 1946.79 0.0303701
223.442 1907.31 0.0297363
223.576 1868.45 0.0291129
223.711 1830.55 0.0285052
223.845 1793.25 0.0279077
223.98 1756.9 0.0273255
224.115 1721.13 0.026753
224.249 1686.29 0.0261958
224.384 1652.01 0.0256479
224.518 1618.61 0.0251144
224.653 1585.75 0.0245897
224.787 1553.7 0.0240784
224.922 1522.17 0.0235756
225.057 1491.38 0.0230849
225.192 1461.09 0.0226024
225.328 1431.28 0.0221279
225.463 1402.15 0.0216646
225.6 1373.5 0.021209
225.736 1345.51 0.0207642
225.872 1317.97 0.0203269
226.009 1291.08 0.0199002
226.146 1264.63 0.0194807
226.282 1238.82 0.0190716
226.419 1213.43 0.0186694
226.556 1188.67 0.0182774
226.693 1164.31 0.017892
226.83 1140.54 0.0175162
226.968 1117.17 0.0171468
227.105 1094.34 0.0167863
227.243 1071.89 0.016432
227.38 1049.95 0.016086
227.519 1028.38 0.0157458
227.657 1007.29 0.0154137
227.795 986.558 0.0150872
227.934 966.306 0.0147685
228.073 946.387 0.0144552
228.211 926.946 0.0141497
228.351 907.825 0.0138494
228.489 889.178 0.0135567
228.629 870.839 0.013269
228.979 852.973 0.0129769
229.37 835.421 0.0126882
229.759 818.343 0.0124078
230.149 801.563 0.0121327
230.538 785.236 0.0118656
230.928 769.194 0.0116035
231.316 753.582 0.0113489
231.707 738.24 0.0110991
232.095 723.305 0.0108564
232.485 708.628 0.0106182
232.874 694.34 0.0103868
233.264 680.299 0.0101597
233.653 666.626 0.00993898
234.039 653.32 0.00972451
234.427 640.24 0.00951404
234.813 627.513 0.00930958
235.201 615.001 0.00910891
235.587 602.834 0.00891409
235.974 590.871 0.00872285
236.359 579.229 0.00853704
236.746 567.781 0.00835464
237.131 556.634 0.00817732
237.518 545.673 0.00800323
237.904 534.989 0.00783383
238.287 524.574 0.00766896
238.673 514.331 0.00750707
239.056 504.346 0.00734952
239.442 494.526 0.00719481
239.826 484.957 0.00704429
240.211 475.544 0.00689648
240.595 466.374 0.00675271
240.977 457.441 0.00661287
241.36 448.652 0.00647552
241.742 440.091 0.00634192
242.125 431.667 0.00621069
242.506 423.461 0.00608305
242.885 415.47 0.00595894
243.266 407.605 0.00583699
243.644 399.95 0.00571848
244.024 392.417 0.00560202
244.402 385.086 0.00548889
244.781 377.871 0.0053777
245.157 370.851 0.0052697
245.531 364.02 0.00516475
245.906 357.31 0.00506182
246.277 350.789 0.00496195
246.646 344.448 0.00486497
247.015 338.216 0.00476981
