temp    pres    rho
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
267.433 128.323 0.00167155
